Collection;Typeface;Strength;Type;Stroke;Case;CapHeight;Xheight;Owidth;narrow;wide;Vorientation;Slope;Index
Script_Myfonts_33Top;Above the Beyond;Regular;Script;H1;Upper;834;369;159;39;42;789;107;5
Script_Myfonts_33Top;Above the Beyond;Regular;Script;H2;Upper;834;369;159;19;22;789;107;5
Script_Myfonts_33Top;Above the Beyond;Regular;Script;H3;Upper;834;369;159;34;55;789;107;5
Script_Myfonts_33Top;Above the Beyond;Regular;Script;p1;Lower;834;369;159;34;43;789;107;5
Script_Myfonts_33Top;Above the Beyond;Regular;Script;p2;Lower;834;369;159;14;42;789;107;5
Script_Myfonts_33Top;Above the Beyond;Regular;Script;k1;Lower;834;369;159;22;59;789;107;5
Script_Myfonts_33Top;Above the Beyond;Regular;Script;k2;Lower;834;369;159;13;40;789;107;5
Script_Myfonts_33Top;Above the Beyond;Regular;Script;k3;Lower;834;369;159;12;19;789;107;5
Script_Myfonts_33Top;Above the Beyond;Regular;Script;x1;Lower;834;369;159;13;60;789;107;5
Script_Myfonts_33Top;Above the Beyond;Regular;Script;x2;Lower;834;369;159;16;27;789;107;5
Script_Myfonts_33Top;Above the Beyond;Regular;Script;o1;Lower;834;369;159;9;61;789;107;5
Script_Myfonts_33Top;Above the Beyond;Regular;Script;a1;Lower;834;369;159;11;49;789;107;5
Script_Myfonts_33Top;Above the Beyond;Regular;Script;a2;Lower;834;369;159;11;43;789;107;5
Script_Myfonts_33Top;Absolute Beauty;Light;Script;H1;Upper;725;183;125;15;15;1131;121;5
Script_Myfonts_33Top;Absolute Beauty;Light;Script;H2;Upper;725;183;125;13;13;1131;121;5
Script_Myfonts_33Top;Absolute Beauty;Light;Script;H3;Upper;725;183;125;14;16;1131;121;5
Script_Myfonts_33Top;Absolute Beauty;Light;Script;p1;Lower;725;183;125;15;26;1131;121;5
Script_Myfonts_33Top;Absolute Beauty;Light;Script;p2;Lower;725;183;125;13;15;1131;121;5
Script_Myfonts_33Top;Absolute Beauty;Light;Script;k1;Lower;725;183;125;13;26;1131;121;5
Script_Myfonts_33Top;Absolute Beauty;Light;Script;k2;Lower;725;183;125;13;15;1131;121;5
Script_Myfonts_33Top;Absolute Beauty;Light;Script;k3;Lower;725;183;125;16;14;1131;121;5
Script_Myfonts_33Top;Absolute Beauty;Light;Script;x1;Lower;725;183;125;14;15;1131;121;5
Script_Myfonts_33Top;Absolute Beauty;Light;Script;x2;Lower;725;183;125;14;15;1131;121;5
Script_Myfonts_33Top;Absolute Beauty;Light;Script;o1;Lower;725;183;125;14;16;1131;121;5
Script_Myfonts_33Top;Absolute Beauty;Light;Script;a1;Lower;725;183;125;12;24;1131;121;5
Script_Myfonts_33Top;Absolute Beauty;Light;Script;a2;Lower;725;183;125;12;20;1131;121;5
Serif_MyFonts_33Top;Aire;Light;Serif;H1;Upper;641;421;390;40;40;898;90;2
Serif_MyFonts_33Top;Aire;Light;Serif;H2;Upper;641;421;390;8;8;898;90;2
Serif_MyFonts_33Top;Aire;Light;Serif;H3;Upper;641;421;390;40;40;898;90;2
Serif_MyFonts_33Top;Aire;Light;Serif;p1;Lower;641;421;390;36;36;898;90;2
Serif_MyFonts_33Top;Aire;Light;Serif;p2;Lower;641;421;390;7;38;898;90;2
